lemma	pos	meaning	domain	parts	notes
eldmotor	N	combustion engine	industry	eld+motor	Fuel, oxidant supply and exhaust must be managed.
gnistmotor	N	electric motor	industry	gnist+motor	Does not imply digital control.
lutbytek	N	heat-exchange device	industry	lut+byt+-ek	Conventional bounded result of exchanging heat.
lutröl	N	heat-transfer pipe	industry	lut+röl	
skelmveg	N	rail route	travel	skelm+veg	
luftväv	N	porous framework distributing air	industry	luft+väv	May use cellular geometry; does not imply every opening is hexagonal.
nersil	N	filter element serving a nursery casing	care	ner+sil	
eggkel	N	compartment containing the true egg within a nursery	care	egg+kel	
selröl	N	feeding conduit in a nursery apparatus	care	sel+röl	An engineered channel, not assumed native feeding anatomy.
ljuskel	N	chamber admitting or supplied with light	food	ljus+kel	Specify source; not necessarily electrically lit.
rötkel	N	tuber-growing or tuber-storage chamber, qualified by context	food	röt+kel	Growing requires lit producer surfaces; storage does not.
sombkel	N	fungal-crop chamber	food	somb+kel	Requires organic substrate; fungi do not create free calories.
brankol	N	charred organic fuel; charcoal-like material	fuel	bran+kol	Does not depend on coal geology.
sombsel	N	food derived from cultivated fungus-like organisms	food	somb+sel	
ljusgrölm	N	crop grown with admitted light	food	ljus+grölm	Light source and growing conditions must be specified.
smeltrak	N	rock interpreted as solidified from melt	material	smelt+rak	Broad specialist origin class; an interpretation, not a visible texture alone.
lagad	N	deposition and accumulation in layers	material	lag+-ad	Lexicalized process derivation.
lagadrak	N	rock interpreted as lithified deposited material	material	lagad+rak	Broad specialist origin class.
verrak	N	rock interpreted as transformed in the solid state	material	ver+rak	Controlled specialist term; ver is the become/change verb stem.
hamarveg	N	route along or through a crag	travel	hamar+veg	Specify the route relationship when introducing a new place.
gnisthamar	N	electrically powered hammer	industry	gnist+hamar	Limited industrial technology, not ubiquitous equipment.
kamvar	N	massif-network language; bedrock speech	language	kam+var	Capitalized language name.
hamarvar	N	ridge-network language; crag speech	language	hamar+var	Capitalized language name.
dravvar	N	basin-network language; water-flow speech	language	drav+var	Capitalized language name.
nattvar	N	cold-edge-network language; dark-side speech	language	natt+var	Not a far-nightside isolated-oasis language.
solvar	N	warm-margin-network language; starward speech	language	sol+var	Capitalized language name.
förvar	N	earlier speech; controlled late-parent model	language	för+var	Historical scenario rather than a real reconstruction.
stavmark	N	native letter-mark script	language	stav+mark	Edition script name.
orv	N	orbital circuit	time		Not a recurring solar day.
orvtid	N	orbital period	time	orv+tid	
draven	V	flow as a water current	water		Intransitive; contrasts with dreven power or drive.
vinst	ADJ	left relative to the body's forward orientation	body		Specify observer or body reference for external objects.
höst	ADJ	right relative to the body's forward orientation	body		Independent of sunward/nightward coordinates.
uparn	N	upper arm of one of the two upper limbs	body	up+arn	Does not prescribe joint geometry.
nedarn	N	lower arm of one of the two lower limbs	body	ned+arn	Here lower refers to limb pair, not forearm segment.
uphand	N	hand belonging to an upper limb pair	body	up+hand	
nedhand	N	hand belonging to a lower limb pair	body	ned+hand	
vinsthand	N	a hand on the left side of the body	body	vinst+hand	Upper/lower pair can be stated separately.
hösthand	N	a hand on the right side of the body	body	höst+hand	Upper/lower pair can be stated separately.
hamarkor	N	member of the native dwarven peoples; dwarf	identity	hamar+kor	Selected general ethnonym; crag/great-rock-mass person. Includes all native species without a residence or occupation test.
hamarkorvar	N	the Dwarven language family collectively	language	hamarkor+var	Family umbrella; Korvar is the common standard and Hamarvar retains its regional meaning.
rakkor	N	member of a reserved regional native people	identity	rak+kor	Retained by user decision; exact region and community remain unassigned. Does not designate all native dwarves.
