common	pos	meaning	massif	ridge	basin	night	warm
mölrak	N	readily scratched or indented rock	mölrak	melrak	mölrak	molrak	melrak
tregrak	N	rock resistant to crack propagation under the stated impact	tregrak	tregrak	tregrak	tregrak	tregrak
sprödrak	N	rock readily fractured by impact	sprödrak	spredrak	sprödrak	sprodrak	spredrak
flakrak	N	rock splitting or occurring in thin plates	flakrak	flakrak	flakrak	flakrak	flakrak
lagrak	N	distinctly layered rock	lagrak	lagrak	lagrak	lagrak	lagrak
bandrak	N	visibly banded rock	bandrak	bandrak	bandrak	bandrak	bandrak
grenrak	N	rock visibly made of separate grains	grenrak	grenrak	grenrak	grenrak	grenrak
krisrak	N	rock with conspicuous interlocking crystals	krisrak	krisrak	krisrak	krisrak	krisrak
glasrak	N	glassy rock	glasrak	glasrak	glasrak	glasrak	glasrak
porrak	N	rock containing conspicuous pores or vesicles	porrak	porrak	porrak	porrak	porrak
tettkam	N	apparently close-packed bedrock	tettkam	tettkam	tettkam	tettkam	tettkam
risskam	N	bedrock with narrow fractures	risskam	risskam	risskam	risskam	risskam
revnkam	N	bedrock with open fissures	revnkam	revnkam	revnkam	revnkam	revnkam
veirkam	N	veined bedrock	veirkam	veirkam	veirkam	feirkam	veirkam
glimrak	N	rock with sparkling reflective surfaces	glimrak	glimrak	glimrak	glimrak	glimrak
rundrak	N	rounded stone	rundrak	rundrak	rundrak	rundrak	rundrak
kantrak	N	angular rock piece	kantrak	kantrak	kantrak	kantrak	kantrak
gladrak	N	smooth-surfaced stone	gladrak	gladrak	gladrak	gladrak	gladrak
rögrak	N	rough-surfaced stone	rögrak	regrak	rögrak	rograk	regrak
holrak	N	rock enclosing a cavity	holrak	holrak	holrak	holrak	olrak
holkrisrak	N	cavity-bearing rock with internal crystals	holkrisrak	holkrisrak	holkrisrak	holkrisrak	olkrisrak
sarnrak	N	rock composed of cemented sand-sized grains	sarnrak	sarnrak	sarnrak	sarnrak	sarnrak
silmrak	N	rock dominated by silt-sized grains	silmrak	silmrak	silmrak	silmrak	silmrak
lemrak	N	clay-rich mudrock	lemrak	lemrak	lemrak	lemrak	lemrak
grustrak	N	rock with abundant gravel-sized clasts	grustrak	grustrak	grustrak	grustrak	grustrak
rundgrustrak	N	rock with rounded gravel-sized clasts	rundgrustrak	rundgrustrak	rundgrustrak	rundgrustrak	rundgrustrak
kantgrustrak	N	rock with angular gravel-sized clasts	kantgrustrak	kantgrustrak	kantgrustrak	kantgrustrak	kantgrustrak
eskrak	N	consolidated ash-rich rock	eskrak	eskrak	eskrak	eskrak	eskrak
kalmrak	N	identified carbonate-rich rock	kalmrak	kalmrak	kalmrak	kalmrak	kalmrak
kriskalmrak	N	carbonate-rich rock with conspicuous recrystallized texture	kriskalmrak	kriskalmrak	kriskalmrak	kriskalmrak	kriskalmrak
kvirrak	N	quartz-rich rock	kvirrak	kvirrak	kvirrak	kvirrak	kvirrak
gisprak	N	gypsum-family rock	gisprak	gisprak	gisprak	gisprak	gisprak
salrak	N	salt-rich consolidated rock	salrak	salrak	salrak	salrak	salrak
sulvrak	N	identified sulfur-bearing rock	sulvrak	sulvrak	sulvrak	sulvrak	sulvrak
jernmal	N	material currently workable as an iron ore	jernmal	jernmal	jernmal	jernmal	jernmal
kubrmal	N	material currently workable as a copper ore	kubrmal	kubrmal	kubrmal	kubrmal	kubrmal
salbas	N	basin containing extensive salt deposits	salbas	salbas	salbas	salbas	salbas
esklag	N	ash layer	esklag	esklag	esklag	esklak	esklag
sallag	N	salt layer	sallag	sallag	sallag	sallak	sallag
isbrak	N	rock debris associated with ice movement	isbrak	isbrak	isbrak	isbrak	isbrak
sarnlem	N	clay-rich earth with a substantial sand fraction	sarnlem	sarnlem	sarnlem	sarnlem	sarnlem
silmdul	N	loose earth dominated by silt-sized material	silmdul	silmdul	silmdul	silmdul	silmdul
sarndul	N	loose earth dominated by sand-sized material	sarndul	sarndul	sarndul	sarndul	sarndul
lemdul	N	clay-rich loose earth	lemdul	lemdul	lemdul	lemdul	lemdul
grustdul	N	gravel-rich loose earth	grustdul	grustdul	grustdul	grustdul	grustdul
saldul	N	salt-bearing loose earth	saldul	saldul	saldul	saldul	saldul
eskdul	N	ash-rich loose earth	eskdul	eskdul	eskdul	eskdul	eskdul
vaatdul	N	wet loose earth	vaatdul	vaatdul	vaatdul	faatdul	vaatdul
tördul	N	dry loose earth	tördul	terdul	tördul	tordul	terdul
svellem	N	clay-rich earth shown to swell under the stated wetting conditions	svellem	svellem	svellem	svellem	svellem
tettlem	N	densely packed clay-rich earth	tettlem	tettlem	tettlem	tettlem	tettlem
jörmsarn	N	sand used as part of growing soil	jörmsarn	jermsarn	jörmsarn	jormsarn	jermsarn
seljörm	N	cultivation soil managed for food production	seljörm	seljerm	seljörm	seljorm	seljerm
skarnjörm	N	soil containing processed organic waste	skarnjörm	skarnjerm	skarnjörm	skarnjorm	skarnjerm
durmen	N	dark stone selected for shaping	durmen	durmen	durmen	durmen	durmen
belmen	N	pale stone selected for shaping	belmen	belmen	belmen	belmen	belmen
darnmen	N	scratch-resistant stone selected for shaping	darnmen	darnmen	darnmen	darnmen	darnmen
mölmen	N	soft stone selected for shaping	mölmen	melmen	mölmen	molmen	melmen
flakmen	N	thin-splitting stone selected for slabs or plates	flakmen	flakmen	flakmen	flakmen	flakmen
tekkmen	N	stone selected for roofing	tekkmen	tekkmen	tekkmen	tekkmen	tekkmen
stalmen	N	stone selected for a supporting structure	stalmen	stalmen	stalmen	stalmen	stalmen
silmen	N	stone selected as a filter medium	silmen	silmen	silmen	silmen	silmen
nermen	N	stone selected for brood-nursery construction	nermen	nermen	nermen	nermen	nermen
porig	ADJ	containing pores	porig	porig	porig	porik	porig
rissig	ADJ	containing cracks	rissig	rissig	rissig	rissik	rissig
salig	ADJ	containing mineral salt	salig	salig	salig	salik	salig
dravrad	N	water wheel	dravrad	dravrad	dravrad	dravrat	dravrad
tarnrad	N	toothed gear wheel	tarnrad	tarnrad	tarnrad	tarnrat	tarnrad
luftporm	N	air pump	luftporm	luftporm	luftporm	luftporm	luftporm
vasporm	N	water pump	vasporm	vasporm	vasporm	fasporm	vasporm
luftvent	N	air-control valve	luftvent	luftvent	luftvent	luftvent	luftvent
vasvent	N	water-control valve	vasvent	vasvent	vasvent	fasvent	vasvent
luftsil	N	air filter	luftsil	luftsil	luftsil	luftsil	luftsil
vassil	N	water filter	vassil	vassil	vassil	fassil	vassil
eldmotor	N	combustion engine	eldmotor	eldmotor	eldmodor	eldmotor	eldmotor
gnistmotor	N	electric motor	gnistmotor	gnistmotor	gnistmodor	gnistmotor	gnistmotor
lutbytek	N	heat-exchange device	lutbytek	lutbitek	lutbydek	lutbutek	lutbitek
lutröl	N	heat-transfer pipe	lutröl	lutrel	lutröl	lutrol	lutrel
skelmveg	N	rail route	skelmveg	shelmveg	skelmveg	skelmvek	skelmveg
luftväv	N	porous framework distributing air	luftväv	luftväv	luftväv	luftvev	luftväv
nersil	N	filter element serving a nursery casing	nersil	nersil	nersil	nersil	nersil
eggkel	N	compartment containing the true egg within a nursery	eggkel	eggkel	eggkel	eggkel	eggkel
selröl	N	feeding conduit in a nursery apparatus	selröl	selrel	selröl	selrol	selrel
ljuskel	N	chamber admitting or supplied with light	ljuskel	ljushel	ljuskel	ljuskel	ljuskel
rötkel	N	tuber-growing or tuber-storage chamber, qualified by context	rötkel	retkel	rötkel	rotkel	retkel
sombkel	N	fungal-crop chamber	sombkel	sombkel	sombkel	sombkel	sombkel
brankol	N	charred organic fuel; charcoal-like material	brankol	brankol	brankol	brankol	brankol
sombsel	N	food derived from cultivated fungus-like organisms	sombsel	sombsel	sombsel	sombsel	sombsel
ljusgrölm	N	crop grown with admitted light	ljusgrölm	ljusgrelm	ljusgrölm	ljusgrolm	ljusgrelm
smeltrak	N	rock interpreted as solidified from melt	smeltrak	smeltrak	smeltrak	smeltrak	smeltrak
lagad	N	deposition and accumulation in layers	lagad	lagad	lagad	lagat	lagad
lagadrak	N	rock interpreted as lithified deposited material	lagadrak	lagadrak	lagadrak	lagadrak	lagadrak
verrak	N	rock interpreted as transformed in the solid state	verrak	verrak	verrak	ferrak	verrak
hamarveg	N	route along or through a crag	hamarveg	hamarveg	hamarveg	hamarvek	amarveg
gnisthamar	N	electrically powered hammer	gnisthamar	gnisthamar	gnisthamar	gnisthamar	gnisthamar
kamvar	N	massif-network language; bedrock speech	kamvar	kamvar	kamvar	kamvar	kamvar
hamarvar	N	ridge-network language; crag speech	hamarvar	hamarvar	hamarvar	hamarvar	amarvar
dravvar	N	basin-network language; water-flow speech	dravvar	dravvar	dravvar	dravvar	dravvar
nattvar	N	cold-edge-network language; dark-side speech	nattvar	nattvar	nattvar	nattvar	nattvar
solvar	N	warm-margin-network language; starward speech	solvar	solvar	solvar	solvar	solvar
förvar	N	earlier speech; controlled late-parent model	förvar	fervar	förvar	forvar	fervar
stavmark	N	native letter-mark script	stavmark	stavmark	stavmark	stavmark	stavmark
orv	N	orbital circuit	orv	orv	orv	orv	orv
orvtid	N	orbital period	orvtid	orvtid	orvtid	orvtit	orvtid
draven	V	flow as a water current	draven	draven	draven	draven	dravan
vinst	ADJ	left relative to the body's forward orientation	vinst	vinst	vinst	finst	vinst
höst	ADJ	right relative to the body's forward orientation	höst	hest	höst	host	est
uparn	N	upper arm of one of the two upper limbs	uparn	uparn	ubarn	uparn	uparn
nedarn	N	lower arm of one of the two lower limbs	nedarn	nedarn	nedarn	nedarn	nedharn
uphand	N	hand belonging to an upper limb pair	uphand	uphand	uphand	uphant	uphand
nedhand	N	hand belonging to a lower limb pair	nedhand	nedhand	nedhand	nedhant	nedhand
vinsthand	N	a hand on the left side of the body	vinsthand	vinsthand	vinsthand	finsthant	vinsthand
hösthand	N	a hand on the right side of the body	hösthand	hesthand	hösthand	hosthant	esthand
hamarkor	N	member of the native dwarven peoples; dwarf	hamarkor	hamarkor	hamarkor	hamarkor	amarkor
hamarkorvar	N	the Dwarven language family collectively	hamarkorvar	hamarkorvar	hamarkorvar	hamarkorvar	amarkorvar
rakkor	N	member of a reserved regional native people	rakkor	rakkor	rakkor	rakkor	rakkor
